nome,cpf,idade,endereco,cep,estado
Alexandre Jesus,269.***.***-34,70,"Aeroporto De Fogaça, 74",60502-356,Desconhecido
Marcos Vinicius Campos,421.***.***-22,47,"Trecho De Barbosa, 7",35218-132,RJ
Rebeca Da Rosa,640.***.***-22,,Trecho Da Mata,57152-686,SC
Henrique Monteiro,378.***.***-73,,"Largo Theo Silva, 91",58201-009,SP
Luigi Da Rosa,316.***.***-87,,"Pátio De Rocha, 4",90133-939,MG
Melissa Dias,170.***.***-05,,"Quadra Isabel Castro, 40",73474-780,PI
Igor Ramos,695.***.***-77,,"Lago De Caldeira, 4",80339-055,AC
Alice Cardoso,123.***.***-09,,"Viaduto Araújo, 76",81023-402,PR
Breno Freitas,205.***.***-41,,"Loteamento De Ferreira, 24",04025-468,PA
Ana Lívia Da Paz,347.***.***-69,19,"Ladeira Gomes, 10",16710-644,RJ
Sr. Daniel Cavalcanti,609.***.***-33,,"Núcleo De Da Paz, 894",45639-116,GO
Sr. Pedro Cavalcanti,863.***.***-84,,Recanto De Melo,07870-886,Desconhecido
Nome Invalido,930.***.***-38,40,"Colônia Da Rocha, 31",88480-773,RN
Nome Invalido,146.***.***-00,94,"Estrada Nogueira, 21",84689-543,PB
Renan Da Luz,294.***.***-23,75,Rua Não Cadastrada,00000-000,PR
Caroline Costa,401.***.***-88,22,Rua Não Cadastrada,00000-000,RS
Giovanna Farias,241.***.***-35,42,Rua Não Cadastrada,00000-000,RJ
Maitê Araújo,496.***.***-55,54,Rua Não Cadastrada,00000-000,RS
Lavínia Da Mota,039.***.***-00,22,Rua Não Cadastrada,00000-000,ES
Igor Cardoso,345.***.***-05,50,Rua Não Cadastrada,00000-000,AM
Maria Julia Campos,018.***.***-13,100,Rua Não Cadastrada,00000-000,MG
Marcos Vinicius Das Neves,617.***.***-02,87,Rua Não Cadastrada,00000-000,RO
Isabel Barbosa,986.***.***-02,28,Rua Não Cadastrada,00000-000,MG
Ryan Gomes,861.***.***-60,59,Rua Não Cadastrada,00000-000,SP
Breno Duarte,463.***.***-98,68,Rua Não Cadastrada,00000-000,TO
Eloah Peixoto,064.***.***-16,81,Rua Não Cadastrada,00000-000,MG
Luiza Sales,726.***.***-80,57,Rua Não Cadastrada,00000-000,GO
Dr. Alexandre Sales,427.***.***-40,89,Rua Não Cadastrada,00000-000,SP
Alícia Campos,162.***.***-94,50,Rua Não Cadastrada,00000-000,GO
Luigi Porto,826.***.***-83,45,"Parque De Santos, 88",60112-833,PI
